agency_id,state_name,region_name,agency_type_name
1516,California,West,County
1823,California,West,Tribal
25265,California,West,Tribal
25313,California,West,Tribal
30614,California,West,Tribal
32175,California,West,Tribal
1517,California,West,City
1518,California,West,City
1521,California,West,City
1522,California,West,City
1524,California,West,City
1525,California,West,City
1526,California,West,City
1527,California,West,City
1531,California,West,Other
937,California,West,County
1024,California,West,City
1026,California,West,City
1030,California,West,City
1032,California,West,County
938,California,West,City
1033,California,West,City
1034,California,West,City
1040,California,West,City
1044,California,West,City
939,California,West,City
941,California,West,City
942,California,West,City
943,California,West,City
945,California,West,City
947,California,West,City
950,California,West,City
951,California,West,Other
952,California,West,University or College
962,California,West,University or College
965,California,West,County
967,California,West,County
969,California,West,City
970,California,West,City
972,California,West,City
975,California,West,County
978,California,West,City
979,California,West,City
980,California,West,City
982,California,West,Other State Agency
985,California,West,University or College
988,California,West,County
991,California,West,Other State Agency
993,California,West,County
994,California,West,City
995,California,West,City
999,California,West,County
1000,California,West,City
1002,California,West,City
1003,California,West,City
1061,California,West,University or College
1065,California,West,County
1070,California,West,County
1004,California,West,City
1071,California,West,City
1005,California,West,City
1006,California,West,City
1073,California,West,City
1074,California,West,City
1007,California,West,City
1075,California,West,City
1077,California,West,City
1078,California,West,University or College
1081,California,West,Other State Agency
1008,California,West,City
1083,California,West,County
1084,California,West,City
1085,California,West,City
1009,California,West,City
1087,California,West,City
1088,California,West,City
1089,California,West,City
1095,California,West,County
1096,California,West,City
1101,California,West,City
1010,California,West,City
1012,California,West,City
1013,California,West,City
1014,California,West,City
1015,California,West,City
1021,California,West,City
1130,California,West,County
1131,California,West,City
1132,California,West,City
1135,California,West,County
1136,California,West,City
1142,California,West,City
1102,California,West,City
1143,California,West,City
1104,California,West,City
1105,California,West,City
1106,California,West,City
1147,California,West,City
1107,California,West,City
1108,California,West,City
1148,California,West,City
1110,California,West,City
1150,California,West,City
1113,California,West,City
1120,California,West,County
1151,California,West,University or College
1162,California,West,City
1164,California,West,City
1121,California,West,City
1122,California,West,City
1123,California,West,City
1165,California,West,City
1293,California,West,City
1168,California,West,City
1294,California,West,City
1170,California,West,City
1299,California,West,University or College
1302,California,West,County
1303,California,West,City
1306,California,West,County
1307,California,West,City
1310,California,West,County
1181,California,West,City
1311,California,West,City
1312,California,West,City
1313,California,West,City
1314,California,West,City
1182,California,West,City
1316,California,West,City
1183,California,West,City
1317,California,West,City
1318,California,West,City
1319,California,West,City
1320,California,West,City
1184,California,West,City
1321,California,West,City
1322,California,West,City
1185,California,West,City
1326,California,West,Other State Agency
1327,California,West,University or College
1329,California,West,County
1330,California,West,City
1331,California,West,City
1332,California,West,City
1335,California,West,Other State Agency
1187,California,West,City
1339,California,West,County
1340,California,West,City
1341,California,West,City
1344,California,West,City
1346,California,West,County
1188,California,West,City
1198,California,West,City
1202,California,West,City
1205,California,West,City
1347,California,West,City
1208,California,West,City
1210,California,West,City
1212,California,West,City
1215,California,West,City
1217,California,West,City
1219,California,West,City
1220,California,West,City
1227,California,West,City
1228,California,West,City
1230,California,West,City
1231,California,West,City
1234,California,West,City
1236,California,West,City
1348,California,West,City
1351,California,West,City
1352,California,West,City
1353,California,West,City
1237,California,West,City
1355,California,West,City
1239,California,West,City
1240,California,West,City
1242,California,West,University or College
1244,California,West,University or College
1245,California,West,University or College
1247,California,West,University or College
1250,California,West,University or College
1253,California,West,County
1358,California,West,City
1254,California,West,City
1255,California,West,City
1359,California,West,City
1360,California,West,City
1361,California,West,City
1263,California,West,City
1266,California,West,City
1267,California,West,City
1269,California,West,City
1362,California,West,City
1363,California,West,City
1364,California,West,City
1273,California,West,University or College
1277,California,West,County
1366,California,West,City
1280,California,West,City
1367,California,West,City
1282,California,West,City
1288,California,West,County
1368,California,West,City
1289,California,West,City
1290,California,West,City
1369,California,West,City
1291,California,West,City
1370,California,West,City
1292,California,West,City
1371,California,West,City
1396,California,West,City
1372,California,West,City
1399,California,West,Other State Agency
1408,California,West,City
1409,California,West,City
1410,California,West,City
1413,California,West,City
1415,California,West,City
1373,California,West,University or College
1377,California,West,Other State Agency
1380,California,West,City
1381,California,West,City
1422,California,West,City
1382,California,West,City
1383,California,West,City
1429,California,West,Other State Agency
1441,California,West,City
1384,California,West,City
1446,California,West,University or College
1385,California,West,City
1386,California,West,City
1451,California,West,City
1387,California,West,City
1389,California,West,University or College
1452,California,West,City
1454,California,West,City
1393,California,West,City
1395,California,West,City
1510,California,West,Other
1512,California,West,Other State Agency
1455,California,West,University or College
1456,California,West,City
1458,California,West,Other
1460,California,West,Other State Agency
1461,California,West,Other State Agency
1466,California,West,City
1467,California,West,University or College
1469,California,West,State Police
1470,California,West,County
1471,California,West,City
1479,California,West,City
1480,California,West,City
1481,California,West,City
1482,California,West,City
1485,California,West,City
1488,California,West,City
1499,California,West,Other
1675,California,West,University or College
1678,California,West,City
1685,California,West,County
1689,California,West,County
1690,California,West,City
1691,California,West,City
1692,California,West,City
1693,California,West,City
1694,California,West,City
1695,California,West,City
1696,California,West,City
1697,California,West,City
1705,California,West,City
1706,California,West,City
1707,California,West,City
1708,California,West,City
1709,California,West,City
1710,California,West,City
1519,California,West,City
1520,California,West,City
1711,California,West,City
1717,California,West,County
1718,California,West,City
1719,California,West,City
1720,California,West,City
1721,California,West,City
1722,California,West,City
1723,California,West,City
1724,California,West,City
